,,etCO2,FiO2,etN2O,xMAC,Pmean,PIP,Pplat,PEEP,MV,MVmand,MVspon,VT,RR,RRmand,RRspon,R,Cdyn mean,etDes,etSev,etIso,etEnf,etHal,inDes,inSev,inIso,inEnf,inHal
,,mmHg,%,%,,mbar,mbar,mbar,mbar,L/min,L/min,L/min,mL,/min,/min,/min,mbar/L/s,mL/mbar,%,%,%,%,%,%,%,%,%,%
30-May-2024,7:46:47,,,,,0,0,,0,0.00,0.00,0.00,0,0,0,0,,,,,,,,,,,,
30-May-2024,7:47:02,0,92,0,0.0,0,14,,2,0.03,0.03,0.00,0,0,0,0,,,0.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00
30-May-2024,7:47:17,0,92,0,0.0,0,14,,2,0.03,0.03,0.00,0,0,0,0,,,0.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00
30-May-2024,7:47:32,0,92,0,0.0,0,14,,2,,,,,0,0,1,,,0.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00
30-May-2024,7:47:47,0,92,0,0.0,1,,,,,,,,1,,,,,0.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00
30-May-2024,7:48:02,0,92,0,0.0,1,,,,,,,,0,,,,,0.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00
30-May-2024,7:48:17,0,93,0,0.0,1,,,,,,,,0,,,,,0.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00
30-May-2024,7:48:32,0,93,0,0.0,1,,,,,,,,0,,,,,0.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00
30-May-2024,7:48:47,0,93,0,0.0,1,,,,,,,,0,,,,,0.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00
30-May-2024,7:49:02,0,93,0,0.0,1,,,,,,,,0,,,,,0.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00
30-May-2024,7:49:17,0,93,0,0.0,1,,,,,,,,0,,,,,0.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00
30-May-2024,7:49:32,0,93,0,0.0,1,,,,,,,,0,,,,,0.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00
30-May-2024,7:49:47,0,93,0,0.0,1,,,,,,,,0,,,,,0.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00
